capture_time_utc,recv_ts_ms,exchange_ts,exchange_ts_ms,symbol,bid,ask,bid_qty,ask_qty,raw_age_ms,adjusted_age_ms,e2e_since_sub_ms
2026-02-22T14:18:12.099294+00:00,1771769892099.286,2026-02-22T14:18:13.501166Z,1771769893501.166,BTC/EUR,57354.5,57355.2,0.11912421,0.03163343,-1401.880,7.051,1948.829
2026-02-22T14:18:12.101531+00:00,1771769892101.514,2026-02-22T14:18:13.501120Z,1771769893501.120,BTC/EUR,57354.1,57355.2,0.00116395,0.03163343,-1399.606,9.324,1951.057
2026-02-22T14:18:12.101558+00:00,1771769892101.552,2026-02-22T14:18:13.503425Z,1771769893503.425,BTC/EUR,57354.1,57354.6,0.00116395,0.03163343,-1401.873,7.058,1951.095
2026-02-22T14:18:12.102789+00:00,1771769892102.782,2026-02-22T14:18:13.505043Z,1771769893505.043,BTC/EUR,57354.1,57355.1,0.00116395,0.03163343,-1402.261,6.669,1952.325
2026-02-22T14:18:12.104204+00:00,1771769892104.188,2026-02-22T14:18:13.506422Z,1771769893506.422,BTC/EUR,57354.1,57355.2,0.00116395,0.03163343,-1402.235,6.696,1953.730
2026-02-22T14:18:12.125975+00:00,1771769892125.958,2026-02-22T14:18:13.526151Z,1771769893526.151,BTC/EUR,57354.1,57355.2,0.01596395,0.03163343,-1400.192,8.738,1975.501
2026-02-22T14:18:12.126003+00:00,1771769892125.997,2026-02-22T14:18:13.527490Z,1771769893527.490,BTC/EUR,57354.2,57355.2,0.11912484,0.03163343,-1401.493,7.437,1975.540
2026-02-22T14:18:12.127158+00:00,1771769892127.121,2026-02-22T14:18:13.528754Z,1771769893528.754,BTC/EUR,57354.2,57355.2,0.13392484,0.03163343,-1401.633,7.298,1976.664
2026-02-22T14:18:12.128798+00:00,1771769892128.781,2026-02-22T14:18:13.530727Z,1771769893530.727,BTC/EUR,57354.3,57355.2,0.11912463,0.03163343,-1401.946,6.985,1978.324
2026-02-22T14:18:12.130147+00:00,1771769892130.125,2026-02-22T14:18:13.532288Z,1771769893532.288,BTC/EUR,57354.4,57355.2,0.11912442,0.03163343,-1402.163,6.768,1979.668
2026-02-22T14:18:12.131769+00:00,1771769892131.752,2026-02-22T14:18:13.533576Z,1771769893533.576,BTC/EUR,57354.3,57355.2,0.11912463,0.03163343,-1401.824,7.106,1981.295
2026-02-22T14:18:12.133154+00:00,1771769892133.138,2026-02-22T14:18:13.531649Z,1771769893531.649,BTC/EUR,57354.1,57355.2,0.00116395,0.03163343,-1398.511,10.419,1982.681
2026-02-22T14:18:12.142742+00:00,1771769892142.706,2026-02-22T14:18:13.537302Z,1771769893537.302,BTC/EUR,57354.3,57355.2,0.0148,0.03163343,-1394.596,14.334,1992.249
2026-02-22T14:18:12.142798+00:00,1771769892142.784,2026-02-22T14:18:13.538938Z,1771769893538.938,BTC/EUR,57354.4,57355.2,0.11912442,0.03163343,-1396.154,12.777,1992.327
2026-02-22T14:18:12.142832+00:00,1771769892142.821,2026-02-22T14:18:13.541999Z,1771769893541.999,BTC/EUR,57354.5,57355.2,0.0148,0.03163343,-1399.178,9.753,1992.364
2026-02-22T14:18:12.142860+00:00,1771769892142.850,2026-02-22T14:18:13.538938Z,1771769893538.938,BTC/EUR,57354.4,57355.2,0.11912442,0.03163343,-1396.088,12.842,1992.393
2026-02-22T14:18:12.142891+00:00,1771769892142.881,2026-02-22T14:18:13.543677Z,1771769893543.677,BTC/EUR,57354.4,57354.6,0.11912442,0.03163343,-1400.796,8.135,1992.424
2026-02-22T14:18:12.142989+00:00,1771769892142.978,2026-02-22T14:18:13.543677Z,1771769893543.677,BTC/EUR,57354.1,57354.6,0.00116395,0.03163343,-1400.699,8.231,1992.521
2026-02-22T14:18:12.143154+00:00,1771769892143.141,2026-02-22T14:18:13.545172Z,1771769893545.172,BTC/EUR,57354.1,57355.2,0.00116395,0.03163343,-1402.031,6.899,1992.684
2026-02-22T14:18:12.144352+00:00,1771769892144.346,2026-02-22T14:18:13.546444Z,1771769893546.444,BTC/EUR,57354.5,57355.2,0.11912421,0.03163343,-1402.098,6.833,1993.889
2026-02-22T14:18:12.146375+00:00,1771769892146.343,2026-02-22T14:18:13.547999Z,1771769893547.999,BTC/EUR,57354.5,57354.6,0.11912421,0.03163343,-1401.656,7.274,1995.886
2026-02-22T14:18:12.146428+00:00,1771769892146.415,2026-02-22T14:18:13.547999Z,1771769893547.999,BTC/EUR,57354.1,57354.6,0.00116395,0.03163343,-1401.584,7.346,1995.958
2026-02-22T14:18:12.149597+00:00,1771769892149.560,2026-02-22T14:18:13.550803Z,1771769893550.803,BTC/EUR,57354.1,57355.2,0.00116395,0.03163343,-1401.243,7.688,1999.103
2026-02-22T14:18:12.149658+00:00,1771769892149.642,2026-02-22T14:18:13.550821Z,1771769893550.821,BTC/EUR,57354.5,57355.2,0.11912421,0.03163343,-1401.179,7.751,1999.185
2026-02-22T14:18:12.150891+00:00,1771769892150.873,2026-02-22T14:18:13.550803Z,1771769893550.803,BTC/EUR,57354.1,57355.2,0.00116395,0.03163343,-1399.930,9.000,2000.416
2026-02-22T14:18:12.151011+00:00,1771769892151.003,2026-02-22T14:18:13.552756Z,1771769893552.756,BTC/EUR,57354.1,57354.6,0.00116395,0.03163343,-1401.753,7.177,2000.546
2026-02-22T14:18:12.152285+00:00,1771769892152.268,2026-02-22T14:18:13.554431Z,1771769893554.431,BTC/EUR,57354.1,57355.2,0.00116395,0.03163343,-1402.163,6.768,2001.811
2026-02-22T14:18:12.153026+00:00,1771769892153.017,2026-02-22T14:18:13.555305Z,1771769893555.305,BTC/EUR,57354.5,57355.2,0.11912421,0.03163343,-1402.288,6.642,2002.560
2026-02-22T14:18:12.154689+00:00,1771769892154.672,2026-02-22T14:18:13.556316Z,1771769893556.316,BTC/EUR,57354.5,57355.1,0.11912421,0.03163343,-1401.644,7.287,2004.215
2026-02-22T14:18:12.154716+00:00,1771769892154.710,2026-02-22T14:18:13.556316Z,1771769893556.316,BTC/EUR,57354.1,57355.1,0.00116395,0.03163343,-1401.606,7.324,2004.253
2026-02-22T14:18:12.155786+00:00,1771769892155.770,2026-02-22T14:18:13.557756Z,1771769893557.756,BTC/EUR,57354.1,57354.6,0.00116395,0.03163343,-1401.986,6.944,2005.313
2026-02-22T14:18:12.156971+00:00,1771769892156.962,2026-02-22T14:18:13.559086Z,1771769893559.086,BTC/EUR,57354.1,57355.2,0.00116395,0.03163343,-1402.124,6.807,2006.505
2026-02-22T14:18:12.157525+00:00,1771769892157.515,2026-02-22T14:18:13.559383Z,1771769893559.383,BTC/EUR,57354.5,57355.2,0.11912421,0.03163343,-1401.868,7.062,2007.058
2026-02-22T14:18:12.159005+00:00,1771769892158.999,2026-02-22T14:18:13.561031Z,1771769893561.031,BTC/EUR,57354.5,57354.6,0.11912421,0.03163343,-1402.032,6.898,2008.542
2026-02-22T14:18:12.159020+00:00,1771769892159.015,2026-02-22T14:18:13.561031Z,1771769893561.031,BTC/EUR,57354.1,57354.6,0.00116395,0.03163343,-1402.016,6.915,2008.558
